                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     81,                 3.0156,                 3.7734,                  3.868,                0.00497,                0.64935,                0.01198,                0.00467,                 2.4674,                 4.1059,                 3.8284,               0.027969,              0.0079688,              0.0079688
                     82,                 2.8443,                 3.6775,                 3.8044,                0.00497,                0.64935,                0.01198,                0.00467,                 2.4674,                 4.1059,                 3.8284,               0.027068,              0.0080676,              0.0080676
                     83,                 2.9362,                  3.535,                 3.7239,                0.00497,                0.64935,                0.01198,                0.00467,                 2.4674,                 4.1059,                 3.8284,               0.026166,              0.0081664,              0.0081664
                     84,                  2.857,                 3.5771,                 3.7832,                0.00483,                 0.6039,                 0.0201,                 0.0069,                 2.4597,                 4.0831,                 3.8249,               0.025265,              0.0082651,              0.0082651
                     85,                 3.0633,                 3.7294,                 3.8653,                0.00483,                 0.6039,                 0.0201,                 0.0069,                 2.4597,                 4.0831,                 3.8249,               0.024364,              0.0083639,              0.0083639
                     86,                      3,                  3.713,                 3.8617,                0.00483,                 0.6039,                 0.0201,                 0.0069,                 2.4597,                 4.0831,                 3.8249,               0.023463,              0.0084626,              0.0084626
                     87,                 2.8763,                 3.6401,                 3.7999,                0.00483,                 0.6039,                 0.0201,                 0.0069,                 2.4597,                 4.0831,                 3.8249,               0.022561,              0.0085612,              0.0085612
                     88,                 2.8506,                 3.6961,                 3.7047,                 0.0052,                0.69481,                0.01325,                0.00501,                 2.4446,                 3.9816,                 3.8178,                0.02166,              0.0086598,              0.0086598
                     89,                  2.643,                 3.7295,                 3.7805,                 0.0052,                0.69481,                0.01325,                0.00501,                 2.4446,                 3.9816,                 3.8178,               0.020758,              0.0087584,              0.0087584
                     90,                  2.855,                 3.5286,                 3.7867,                 0.0052,                0.69481,                0.01325,                0.00501,                 2.4446,                 3.9816,                 3.8178,               0.019857,               0.008857,               0.008857
                     91,                 2.7932,                 3.4634,                 3.7368,                 0.0052,                0.69481,                0.01325,                0.00501,                 2.4446,                 3.9816,                 3.8178,               0.018956,              0.0089556,              0.0089556
                     92,                 2.9048,                 3.6418,                 3.7572,                0.00528,                0.69481,                0.04137,                0.00737,                 2.4157,                 4.0177,                 3.8002,               0.018054,              0.0090541,              0.0090541
                     93,                 2.7043,                 3.5469,                 3.7499,                0.00528,                0.69481,                0.04137,                0.00737,                 2.4157,                 4.0177,                 3.8002,               0.017153,              0.0091525,              0.0091525
                     94,                 2.7076,                  3.584,                 3.6484,                0.00528,                0.69481,                0.04137,                0.00737,                 2.4157,                 4.0177,                 3.8002,               0.016251,               0.009251,               0.009251
                     95,                 2.7478,                  3.694,                 3.7815,                0.00528,                0.69481,                0.04137,                0.00737,                 2.4157,                 4.0177,                 3.8002,               0.015349,              0.0093494,              0.0093494
